GRB	Redshift
100413A	3.9 (Swift-XRT: tentative)
100316D	0.014
100316B	1.180 (VLT: absorption)
100302A	4.813 (Gemini-North: absorption)
100219A	4.5 (MPI/ESO: photometric)|4.6667 (VLT: absorption)|4.7 (Gemini South: absorption)
091208B	1.063 (Gemini North: absorption)|1.0633 (Keck I: absorption)
091127	0.490 (Gemini-North: emission)|0.49034 (VLT: emission)
091109A	3.5 (ESO/MPI: photometric)|3.076 (VLT: absorption)
091029	2.752 (Gemini-South: absorption)
091024	1.092 (Gemini-North)|1.091 (Keck I: absorption)
091020	1.71 (NOT)
091018	0.971 (Magellan Clay: absorption)|0.9710 (VLT: absorption)
090927	1.37 (VLT: absorption)
090926B	1.24 (VLT: emission & absorption)
090814A	0.696 < z < 2.2 (VLT: absorption)
090812	2.452 (VLT: absorption)
090809	2.737 (VLT)
090726	2.71 (SAO RAS: absoption)
090715B	3.00 (WHT)
090618	0.54 (Lick: absorption)|0.54 (SAO RAS: emission)
090530	~1.266 (VLT)
090529	2.625 (VLT: absorption)
090519	3.9 (ESO/MPI: photometric)|3.85 (VLT: absorption)
090516A	4.109 (VLT: absorption)|4.1 (ESO/MPI: photometric)
090510	0.903 (VLT: emission)
090426	2.609 (Keck-I: absorption)|2.609 (VLT: absorption)
090424	0.544 (Gemini-South: absorption)|0.544 (WHT)
090423	8.0 (MPI/ESO: photometric)|~8.1 (TNG)
090418A	1.608 (Lick: absorption)
090407	1.4485 (TOUGH: emission)
090313	3.375 (Gemini-South: absorption)|3.375 (VLT: absorption)|3.3721 (Melipal: absorption)
090205	4.7 (ESO/MPI: photometric)|4.6497 (VLT: absorption)
090113	1.7493 (TOUGH: emission)
090102	1.547 (NOT)|1.546 (Palomar 200": absorption)|1.55 (Hobby-Eberly: absorption)
081222	~2.7 (UVOT)|2.77 (Gemini-South: absorption)|2.77 (Gemini-North: absorption)
081221	2.26 (Salvaterra)
081203A	2.1 (UVOT: absorption)
081121	2.512 (Magellan/Clay: aborption)
081118	2.58 (VLT: absorption)
081029	3.8479 (VLT: absorption, host)|3.847 (Gemini-South: absorption)
081028A	3.038 (Magellan/Clay: absorption)
081008	1.9685 (VLT: absorption)|1.967 (Gemini-South: absorption)
081007	0.5295 (Gemini-South: absorption)
080928	1.692 (VLT: absorption)|1.69 (Gemini-South: absorption)
080916A	0.689 (VLT: absorption and emission)
080913	6.44 (ESO/MPI: photometric)|6.7 (VLT)
080906	2.0 (UVOT: photometric)
080905B	2.374 (VLT: absorption)
080905A	0.1218 (emission from host)
080810	3.35 (Keck: absorption)|3.35 (RTT150: absorption)|3.35 (NOT: absorption)
080805	1.505 (VLT: absorption)
080804	2.2045 (VLT: absorption)|2.20 (Gemini-South: absorption)
080721	2.602 (TNG: absorption)|2.591 (NOT: absorption)
080710	0.845 (Gemini-South: absorption)
080707	1.23 (VLT: absorption)
080607	3.036 (Keck I)
080605	1.6398 (VLT: absorption)
080604	1.416 (Gemini-North: absorption)
080603B	2.69 (NOT)|2.69 (Hobby-Eberly: absorption)
080520	1.545 (VLT: emission)
080516	3.2 (MPI/ESO: photometric)
080430	~0.75 (Calar Alto: absorption, probable)|0.767 (Hobby-Eberly: absorption)
080413B	1.10 (VLT: absorption)|1.10 (Gemini-South: absorption)
080413A	2.433 (VLT: absorption)|2.43 (Gemini-South: absorption)
080411	1.03 (VLT: absorption)
080330	1.51 (NOT: absorption)|1.51 (Hobby-Eberly: absorption)
080319C	1.95 (Gemini-North: absorption)
080319B	0.937 (VLT Kueyen: absorption)|0.937 (Hobby-Eberly: absorption)
080310	2.4266 (Lick: absorption)|2.42 (Magellan: absorption)|2.43 (VLT-Kueyen: absorption)|2.4266 (Keck: absorption)
080210	2.641 (VLT: absorption)|2.64 (Hobby-Eberly: absorption)
080207	2.0858 (TOUGH: emission)
071227	0.383 (VLT: emission, host redshift)|0.384 (Magellan: emission, host redshift)
071122	1.14 (Gemini North: absorption)
071117	1.331 (VLT: emission)
071112C	0.8230 (VLT: absorption)|0.823 (Gemini North: absorption)
071031	2.692 (VLT)
071028B	0.94 (Paranal: host, photometric)
071021	2.4520 (TOUGH: emission)
071020	>2.145 (VLT: absorption)|2.142 (BTA: absorption)
071010B	0.947 (Gemini North: absorption)|0.947 (Keck I: absorption)|0.947 (Keck II: absorption)
071010A	0.98 (Keck I: absorption)
071003	1.100 (Keck I: absorption)|>0.937 (VLT: absorption)
070810A	2.17 (Keck I: absorption)
070802	2.45 (VLT)
070724A	0.457 (Gemini South: emission, from host)|0.457 (VLT: emission, from host)
070721B	proposed redshift 3.626 (VLT)
070714B	0.92 (Gemini: emission, from host)
070612A	0.617 (Gemini North: emission)
070611	2.04 (VLT)
070529	2.4996 (Gemini North: absorption)
070521	0.553 (Subaru: emission)
070508	0.82 (VLT: emission, tentative)
070506	2.31 (VLT: absorption)
070429B	0.904 (Keck I: from probable host)
070419A	0.97 (Keck I: absorption)
070411	2.954 (VLT: absorption)
070318	0.836 (VLT: absorption)|0.840 (Gemini/Magellan: absorption)
070306	possible redshift:|1.497 (VLT: emission)
070208	1.165 (Gemini-North: emission)
070129	2.3384 (TOUGH: emission)
070110	2.352 (VLT: absorption)
070103	2.6208 (TOUGH: emission)
061222B	3.355 (Magellan: absorption)
061222A	2.088 (Perley)
061217	0.827 (Magellan: emission)
061210	0.41 possible host redshift (Keck: emission)
061201	0.111 (Magellan, from probable host)
061121	1.314 (Keck I: absorption)
061110B	3.44 (VLT)
061110A	0.758 (VLT: emission)
061021	0.3463 (Fynbo)
061007	1.261 (Magellan Clay: absorption)|1.262 (VLT: absorption)
060927	5.6 (VLT: absorption)
060926	3.208 (VLT: absorption)
060912A	probably host redshift:|0.937 (VLT: emission)
060908	1.8836 (Fynbo)
060906	3.685 (VLT: absorption)
060904B	0.703 (VLT: absorption)
060814	0.84 (Keck I: emission, from host)
060729	0.54 (VLT, Gemini South: absorption)
060719	1.5320 (TOUGH: emission)
060714	2.71 (VLT: absorption)
060708	Z<2.3 (VLT)
060707	3.43 (VLT: absorption)
060614	0.13 (Gemini: emission)|0.125 (VLT: emission)
060607A	3.082 (VLT: absorption)
060605	3.8 (ANU: absorption)|3.7 (SALT: absorption)|3.78 (Calar Alto)
060604	2.1357 (TOUGH: emission)
060602A	0.787 (VLT: emission, probable)
060526	3.21 (Magellan: absorption)
060522	5.11 (Keck I: absorption)
060512	0.4428 (Keck I: emission)
060510B	4.9 (Gemini)
060505	0.089 (Gemini: emission)
060502B	0.287 (Keck I-candidate: absorption)
060502A	~1.51 (Gemini: absorption)
060418	1.490 (Magellan: absorption)|1.489 (VLT: absorption)
060223A	4.41 (Keck: absorption)
060218	0.0331 (MDM: emission)|0.033 (VLT: emission)|0.033 (Gemini: emission)|0.033 (BTA: emission)|0.033 (Keck I: emission)
060210	3.91 (Gemini: absoption)
